<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-04-25T12:13:44.363491Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.011557
2026-04-25T12:13:44.436643Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 96 "-" "python-requests/2.33.1" 0.010642
2026-04-25T12:13:44.507873Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.010499
2026-04-25T12:13:44.580573Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.010924
2026-04-25T12:13:44.660960Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.011200
2026-04-25T12:13:44.730574Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.011038
2026-04-25T12:13:44.803367Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.010440
2026-04-25T12:13:44.873766Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 96 "-" "python-requests/2.33.1" 0.011443
2026-04-25T12:13:44.941828Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.010854
2026-04-25T12:13:45.016168Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.011265
2026-04-25T12:13:45.087987Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.002424
2026-04-25T12:13:45.103582Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.002243
2026-04-25T12:13:45.119655Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.002339
2026-04-25T12:13:45.134760Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.002070
2026-04-25T12:13:45.149485Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.002120
2026-04-25T12:13:45.326460Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 219 "-" "python-requests/2.33.1" 0.047671
2026-04-25T12:13:45.381479Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 219 "-" "python-requests/2.33.1" 0.052464
2026-04-25T12:13:45.431236Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 223 "-" "python-requests/2.33.1" 0.047502
2026-04-25T12:13:45.479309Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 221 "-" "python-requests/2.33.1" 0.045960
2026-04-25T12:13:45.538468Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 217 "-" "python-requests/2.33.1" 0.056865
2026-04-25T12:13:45.587791Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 220 "-" "python-requests/2.33.1" 0.047027
2026-04-25T12:13:45.633284Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 217 "-" "python-requests/2.33.1" 0.043038
2026-04-25T12:13:45.662135Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 223 "-" "python-requests/2.33.1" 0.026703
2026-04-25T12:13:45.681135Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 224 "-" "python-requests/2.33.1" 0.015771
2026-04-25T12:13:45.734212Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 223 "-" "python-requests/2.33.1" 0.049105
2026-04-25T12:13:45.784688Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 224 "-" "python-requests/2.33.1" 0.048219
2026-04-25T12:13:45.836895Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/bench_test/points/search HTTP/1.1" 200 217 "-" "python-requests/2.33.1" 0.047810
